
 Entropy eval. (2025-03-30 19:38:12.467778).
,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23
Kyber768:,0.598613720694674,0.732900610347337,0.76718650013879,0.8112879199398714,0.8391447592854823,0.8538899766945292,0.8733846436321554,0.8916232435909273,0.9062118163893479,0.9211505535450475,0.9294491856670726,0.9331421614799283,0.9405944163704046,0.9462402763031055,0.9494137950584781,0.9538871973348846,0.9548373957811845,0.9571172972911404,0.9598888887885443,0.9623346697164192,0.9639817173029018,0.9688800241023321,0.9697844088306667,
BIKE-L3:,0.6015625,0.703125,0.7433660118609204,0.7898089997413931,0.8135286351497818,0.832987720833464,0.8524862937167192,0.8766373323340784,0.887191006603028,0.8979652185237397,0.9038948841478955,0.9092900244589951,0.9242154381364095,0.9326762937233907,0.9353227956717934,0.940458205471296,0.9410664838687129,0.9472308672999413,0.9513133748307814,0.9549320806306782,0.9594726335578823,0.9624065674409972,0.9642705934230476,
Classic-McEliece-6960119:,0.625,0.73828125,0.7621160118609204,0.8054339997413931,0.8404553278656272,0.8556592442777248,0.8707804769654888,0.8826946721623559,0.9016976013025136,0.9134529244246007,0.9217010595094087,0.9279255578095118,0.9359291704662108,0.9426700516423308,0.9463164858117894,0.9498515954023381,0.9517540973233987,0.9534830414338831,0.9546049585657962,0.9571483639958187,0.9607999801826961,0.9661938349904462,0.9673708474010915,
