
Algorithm L-3 ,KEM_time, AES_time=f(KEM)
Kyber768, 0.001226981480916341, 0.0002315044403076172
BIKE-L3, 0.0019795894622802734, 0.0003180503845214844
Classic-McEliece-460896, 0.21541754404703775, 0.00031304359436035156

Algorithm L-5 ,KEM_time, AES_time=f(KEM)
Kyber1024, 0.0003928343454996745, 0.0001434485117594401
BIKE-L5, 0.004077911376953125, 0.00045800209045410156
Classic-McEliece-6960119, 0.2574609915415446, 0.0006396770477294922

Algorithm L-3 ,KEM_time, AES_time=f(KEM)
Kyber768, 0.0011909008026123047, 0.00017229715983072916
BIKE-L3, 0.0017859935760498047, 0.00028006235758463543
Classic-McEliece-460896, 0.15953898429870605, 0.0002818902333577474

Algorithm L-5 ,KEM_time, AES_time=f(KEM)
Kyber1024, 0.00037439664204915363, 0.00013987223307291666
BIKE-L5, 0.0038532416025797525, 0.0004987716674804688
Classic-McEliece-6960119, 0.20130324363708496, 0.0005568663279215494
